DEPT,GR,Helper
137.6172,7.985146,1
137.7696,8.233719,1
137.922,8.397316,1
138.0744,8.486679,1
138.2268,8.170204,1
138.3792,7.662518,1
138.5316,8.289299,1
138.684,8.451439,1
138.8364,8.15258,1
138.9888,7.510937,1
139.1412,7.222149,1
139.2936,7.144791,1
139.446,7.742531,1
139.5984,8.425537,1
139.7508,8.492897,1
139.9032,9.109093,1
140.0556,9.24247,1
140.208,9.149635,1
140.3604,8.772011,1
140.5128,8.07547,1
140.6652,7.465172,1
140.8176,7.046539,1
140.97,6.848228,1
141.1224,6.814884,1
141.2748,7.076958,1
141.4272,7.607731,1
141.5796,7.60976,1
141.732,7.874577,1
141.8844,7.837566,1
142.0368,7.28326,1
142.1892,6.655357,1
142.3416,6.337936,1
142.494,6.442108,1
142.6464,7.143581,1
142.7988,7.878719,1
142.9512,8.324226,1
143.1036,8.537857,1
143.256,8.342903,1
143.4084,7.829311,1
143.5608,7.189102,1
143.7132,6.778645,1
143.8656,7.079472,1
144.018,7.385296,1
144.1704,7.359028,1
144.3228,7.015038,1
144.4752,7.259529,1
144.6276,7.928917,1
144.78,8.129646,1
144.9324,7.842266,1
145.0848,7.140625,1
145.2372,6.838795,1
145.3896,6.795387,1
145.542,6.278278,1
145.6944,5.948158,1
145.8468,6.112762,1
145.9992,6.575657,1
146.1516,6.694916,1
146.304,6.035446,1
146.4564,5.697445,1
146.6088,5.506172,1
146.7612,5.496517,1
146.9136,6.430672,1
147.066,6.969238,1
147.2184,7.426353,1
147.3708,7.355415,1
147.5232,6.701412,1
147.6756,5.933975,1
147.828,5.420662,1
147.9804,5.327538,1
148.1328,5.310284,1
148.2852,5.337711,1
148.4376,5.510731,1
148.59,5.510696,1
148.7424,5.542385,1
148.8948,5.56522,1
149.0472,5.771591,1
149.1996,6.64957,1
149.352,7.606709,1
149.5044,7.946716,1
149.6568,7.406876,1
149.8092,7.17049,1
149.9616,7.874844,1
150.114,7.884678,1
150.2664,7.334538,1
150.4188,7.774498,1
150.5712,7.175289,1
150.7236,6.931873,1
150.876,7.157463,1
151.0284,7.085949,1
151.1808,6.64513,1
151.3332,5.846985,1
151.4856,5.511345,1
151.638,6.495598,1
151.7904,7.368198,1
151.9428,7.780514,1
152.0952,7.65839,1
152.2476,6.846188,1
152.4,6.58212,1
152.5524,6.845757,1
152.7048,7.240741,1
152.8572,7.367457,1
153.0096,7.33704,1
153.162,7.122205,1
153.3144,6.49158,1
153.4668,6.387316,1
153.6192,6.873137,1
153.7716,7.491064,1
153.924,7.678617,1
154.0764,7.95061,1
154.2288,7.413888,1
154.3812,7.180578,1
154.5336,7.771953,1
154.686,8.176754,1
154.8384,8.107952,1
154.9908,7.764989,1
155.1432,8.019077,1
155.2956,8.390585,1
155.448,8.371367,1
155.6004,8.069273,1
155.7528,8.732559,1
155.9052,9.119137,1
156.0576,9.022905,1
156.21,8.470493,1
156.3624,8.655663,1
156.5148,8.114489,1
156.6672,7.765237,1
156.8196,8.476402,1
156.972,9.16169,1
157.1244,9.451118,1
157.2768,9.077505,1
157.4292,9.846392,1
157.5816,10.5753,1
157.734,10.62931,1
157.8864,11.14306,1
158.0388,9.913685,1
158.1912,8.363308,1
158.3436,7.834963,1
158.496,8.008055,1
158.6484,7.617198,1
158.8008,7.189323,1
158.9532,7.514922,1
159.1056,7.39199,1
159.258,6.776872,1
159.4104,6.780176,1
159.5628,7.91223,1
159.7152,8.861111,1
159.8676,9.337978,1
160.02,8.945299,1
160.1724,8.718437,1
160.3248,10.24778,1
160.4772,11.54755,1
160.6296,12.46941,1
160.782,12.80766,1
160.9344,12.05629,1
161.0868,11.50947,1
161.2392,11.92726,1
161.3916,11.80504,1
161.544,10.90331,1
161.6964,9.752903,1
161.8488,8.918232,1
162.0012,9.23111,1
162.1536,9.692846,1
162.306,9.889534,1
162.4584,9.561892,1
162.6108,9.070339,1
162.7632,9.235466,1
162.9156,9.90731,1
163.068,10.2916,1
163.2204,10.3462,1
163.3728,10.25968,1
163.5252,9.706436,1
163.6776,9.824188,1
163.83,9.690151,1
163.9824,9.041922,1
164.1348,9.420578,1
164.2872,11.04141,1
164.4396,11.71124,1
164.592,12.8766,1
164.7444,14.14497,1
164.8968,15.13004,1
165.0492,15.28674,1
165.2016,14.8941,1
165.354,15.21828,1
165.5064,14.74846,1
165.6588,13.72819,1
165.8112,12.63486,1
165.9636,11.94972,1
166.116,11.92313,1
166.2684,12.55297,1
166.4208,13.2259,1
166.5732,13.51694,1
166.7256,13.48536,1
166.878,12.97085,1
167.0304,12.18492,1
167.1828,12.36165,1
167.3352,13.09373,1
167.4876,13.96296,1
167.64,15.21474,1
167.7924,15.8668,1
167.9448,16.12567,1
168.0972,16.05151,1
168.2496,15.42928,1
168.402,15.33437,1
168.5544,15.73433,1
168.7068,15.28606,1
168.8592,14.41958,1
169.0116,14.18648,1
169.164,14.44474,1
169.3164,15.2916,1
169.4688,15.31953,1
169.6212,14.62126,1
169.7736,13.81309,1
169.926,13.27115,1
170.0784,13.00547,1
170.2308,13.0229,1
170.3832,13.18118,1
170.5356,13.66393,1
170.688,14.96747,1
170.8404,15.99056,1
170.9928,15.37338,1
171.1452,13.91585,1
171.2976,13.11117,1
171.45,13.59344,1
171.6024,13.5401,1
171.7548,12.85378,1
171.9072,13.8539,1
172.0596,15.26296,1
172.212,15.85588,1
172.3644,15.895,1
172.5168,14.77815,1
172.6692,13.67657,1
172.8216,12.72939,1
172.974,12.01042,1
173.1264,11.94772,1
173.2788,12.72505,1
173.4312,13.27513,1
173.5836,13.79065,1
173.736,13.645,1
173.8884,13.0552,1
174.0408,12.76043,1
174.1932,13.04333,1
174.3456,13.63874,1
174.498,13.82795,1
174.6504,13.55116,1
174.8028,12.97771,1
174.9552,13.06724,1
175.1076,13.7903,1
175.26,13.93254,1
175.4124,13.44928,1
175.5648,13.63785,1
175.7172,14.07545,1
175.8696,14.11654,1
176.022,13.68481,1
176.1744,13.62894,1
176.3268,14.09038,1
176.4792,14.37706,1
176.6316,14.2696,1
176.784,13.94342,1
176.9364,13.41667,1
177.0888,12.71533,1
177.2412,12.56286,1
177.3936,13.22917,1
177.546,13.93949,1
177.6984,14.30064,1
177.8508,14.19081,1
178.0032,13.59331,1
178.1556,12.62536,1
178.308,12.48054,1
178.4604,12.78351,1
178.6128,13.18501,1
178.7652,13.1212,1
178.9176,12.51442,1
179.07,11.86132,1
179.2224,11.85761,1
179.3748,12.76222,1
179.5272,13.4419,1
179.6796,13.22984,1
179.832,12.66804,1
179.9844,12.63214,1
180.1368,12.27724,1
180.2892,13.12655,1
180.4416,14.16706,1
180.594,14.0783,1
180.7464,14.2525,1
180.8988,15.32847,1
181.0512,15.82852,1
181.2036,15.99307,1
181.356,16.90559,1
181.5084,17.41588,1
181.6608,16.33749,1
181.8132,14.74237,1
181.9656,13.6078,1
182.118,13.24274,1
182.2704,13.76149,1
182.4228,14.59655,1
182.5752,15.15436,1
182.7276,15.34302,1
182.88,15.18382,1
183.0324,14.44019,1
183.1848,13.50871,1
183.3372,12.79892,1
183.4896,13.02715,1
183.642,14.12357,1
183.7944,15.10526,1
183.9468,15.75782,1
184.0992,15.97906,1
184.2516,14.95145,1
184.404,13.81167,1
184.5564,13.21162,1
184.7088,13.95641,1
184.8612,13.7677,1
185.0136,13.62888,1
185.166,14.62705,1
185.3184,15.55684,1
185.4708,15.41287,1
185.6232,14.25023,1
185.7756,13.0569,1
185.928,12.7024,1
186.0804,12.89003,1
186.2328,12.96473,1
186.3852,12.52585,1
186.5376,12.36651,1
186.69,14.70725,1
186.8424,15.92599,1
186.9948,16.02623,1
187.1472,15.73362,1
187.2996,15.36542,1
187.452,15.09875,1
187.6044,15.19425,1
187.7568,15.9569,1
187.9092,15.83372,1
188.0616,15.14329,1
188.214,13.93885,1
188.3664,13.25699,1
188.5188,14.37215,1
188.6712,14.92525,1
188.8236,14.29868,1
188.976,14.63474,1
189.1284,14.65586,1
189.2808,14.28085,1
189.4332,13.043,1
189.5856,11.82466,1
189.738,11.88324,1
189.8904,13.13834,1
190.0428,13.89059,1
190.1952,13.71097,1
190.3476,13.05,1
190.5,12.24908,1
190.6524,12.00087,1
190.8048,12.55952,1
190.9572,13.61377,1
191.1096,14.55113,1
191.262,15.25661,1
191.4144,15.179,1
191.5668,15.28992,1
191.7192,15.74515,1
191.8716,15.7519,1
192.024,15.15146,1
192.1764,14.31605,1
192.3288,13.8733,1
192.4812,14.62176,1
192.6336,15.94218,1
192.786,16.31396,1
192.9384,17.02789,1
193.0908,17.24907,1
193.2432,16.46538,1
193.3956,16.10888,1
193.548,17.09249,1
193.7004,17.48737,1
193.8528,16.27413,1
194.0052,14.4213,1
194.1576,14.90795,1
194.31,15.8763,1
194.4624,16.09616,1
194.6148,14.9496,1
194.7672,14.60016,1
194.9196,15.29747,1
195.072,16.76248,1
195.2244,17.21119,1
195.3768,16.99881,1
195.5292,17.77647,1
195.6816,18.31236,1
195.834,17.91093,1
195.9864,16.52552,1
196.1388,15.83534,1
196.2912,16.7187,1
196.4436,16.61554,1
196.596,15.77205,1
196.7484,14.85749,1
196.9008,15.1329,1
197.0532,15.52738,1
197.2056,14.32731,1
197.358,14.0477,1
197.5104,14.90808,1
197.6628,15.34393,1
197.8152,14.92712,1
197.9676,14.84155,1
198.12,15.39343,1
198.2724,15.37353,1
198.4248,15.66187,1
198.5772,16.64703,1
198.7296,17.30818,1
198.882,17.02737,1
199.0344,16.74657,1
199.1868,16.85041,1
199.3392,16.69146,1
199.4916,16.5046,1
199.644,16.65678,1
199.7964,17.42008,1
199.9488,17.9176,1
200.1012,17.49605,1
200.2536,17.53933,1
200.406,18.37234,1
200.5584,18.60931,1
200.7108,19.76351,1
200.8632,20.73714,1
201.0156,21.12288,1
201.168,21.93795,1
201.3204,22.94878,1
201.4728,22.2796,1
201.6252,21.06608,1
201.7776,19.89621,1
201.93,19.37708,1
202.0824,19.57367,1
202.2348,20.62975,1
202.3872,21.34908,1
202.5396,20.90405,1
202.692,20.70894,1
202.8444,20.50204,1
202.9968,19.55742,1
203.1492,18.7769,1
203.3016,18.68556,1
203.454,19.71089,1
203.6064,19.09806,1
203.7588,17.83126,1
203.9112,17.02177,1
204.0636,17.17161,1
204.216,17.47254,1
204.3684,16.93208,1
204.5208,16.22729,1
204.6732,16.757,1
204.8256,16.82486,1
204.978,16.65253,1
205.1304,16.04227,1
205.2828,15.98408,1
205.4352,16.5369,1
205.5876,16.55548,1
205.74,16.07346,1
205.8924,15.98007,1
206.0448,16.9008,1
206.1972,17.40412,1
206.3496,16.9907,1
206.502,17.75303,1
206.6544,18.07713,1
206.8068,17.50164,1
206.9592,17.69254,1
207.1116,18.14473,1
207.264,18.76397,1
207.4164,18.88248,1
207.5688,18.19196,1
207.7212,17.42229,1
207.8736,16.39934,1
208.026,15.70522,1
208.1784,16.17105,1
208.3308,17.23701,1
208.4832,17.33949,1
208.6356,17.03637,1
208.788,16.47576,1
208.9404,16.28672,1
209.0928,16.31081,1
209.2452,16.7234,1
209.3976,17.44279,1
209.55,18.47404,1
209.7024,19.13533,1
209.8548,18.95986,1
210.0072,20.14168,1
210.1596,20.97625,1
210.312,20.96682,1
210.4644,19.96952,1
210.6168,19.94913,1
210.7692,21.07871,1
210.9216,20.96678,1
211.074,20.05225,1
211.2264,19.535,1
211.3788,20.01955,1
211.5312,20.77031,1
211.6836,20.43713,1
211.836,18.73359,1
211.9884,17.80889,1
212.1408,17.69178,1
212.2932,16.92919,1
212.4456,16.57307,1
212.598,17.06997,1
212.7504,18.03927,1
212.9028,18.58077,1
213.0552,18.79068,1
213.2076,18.34964,1
213.36,17.40667,1
213.5124,16.85223,1
213.6648,17.2965,1
213.8172,17.72878,1
213.9696,17.80893,1
214.122,17.5819,1
214.2744,17.15748,1
214.4268,17.49762,1
214.5792,18.28878,1
214.7316,18.44547,1
214.884,17.61104,1
215.0364,17.27744,1
215.1888,17.49213,1
215.3412,17.27524,1
215.4936,16.65916,1
215.646,16.56073,1
215.7984,16.9426,1
215.9508,17.43199,1
216.1032,17.92061,1
216.2556,16.94686,1
216.408,18.64603,1
216.5604,19.40507,1
216.7128,19.8661,1
216.8652,20.46621,1
217.0176,20.16392,1
217.17,19.04284,1
217.3224,18.3553,1
217.4748,18.8923,1
217.6272,19.24532,1
217.7796,18.39914,1
217.932,17.42884,1
218.0844,16.8602,1
218.2368,16.45728,1
218.3892,16.69165,1
218.5416,18.88236,1
218.694,20.64197,1
218.8464,21.13884,1
218.9988,20.08595,1
219.1512,19.31408,1
219.3036,19.55067,1
219.456,20.61684,1
219.6084,20.8331,1
219.7608,20.33276,1
219.9132,20.34984,1
220.0656,20.95748,1
220.218,22.02209,1
220.3704,22.99887,1
220.5228,23.33335,1
220.6752,22.20892,1
220.8276,21.21278,1
220.98,20.6763,1
221.1324,20.97103,1
221.2848,21.61945,1
221.4372,22.0661,1
221.5896,21.95651,1
221.742,20.98479,1
221.8944,19.83944,1
222.0468,18.4763,1
222.1992,18.1216,1
222.3516,18.36922,1
222.504,18.9501,1
222.6564,19.02243,1
222.8088,18.4036,1
222.9612,18.10062,1
223.1136,19.52336,1
223.266,20.3944,1
223.4184,19.69616,1
223.5708,19.01382,1
223.7232,19.15392,1
223.8756,19.1063,1
224.028,18.70901,1
224.1804,19.11549,1
224.3328,18.70667,1
224.4852,18.23279,1
224.6376,18.56243,1
224.79,18.66177,1
224.9424,18.17021,1
225.0948,17.42563,1
225.2472,16.76987,1
225.3996,16.26569,1
225.552,16.33294,1
225.7044,18.33784,1
225.8568,18.7122,1
226.0092,17.46662,1
226.1616,16.87816,1
226.314,15.2628,1
226.4664,13.63568,1
226.6188,13.98699,1
226.7712,15.51509,1
226.9236,15.75461,1
227.076,15.11393,1
227.2284,15.51772,1
227.3808,16.3632,1
227.5332,16.56865,1
227.6856,15.87477,1
227.838,15.29268,1
227.9904,14.89252,1
228.1428,15.00019,1
228.2952,15.67397,1
228.4476,16.49696,1
228.6,16.98358,1
228.7524,16.52081,1
228.9048,16.08667,1
229.0572,16.09352,1
229.2096,17.72464,1
229.362,18.69576,1
229.5144,18.40965,1
229.6668,16.75864,1
229.8192,15.50735,1
229.9716,15.40852,1
230.124,16.53918,1
230.2764,17.67703,1
230.4288,18.49361,1
230.5812,18.7587,1
230.7336,18.68346,1
230.886,19.40877,1
231.0384,19.22118,1
231.1908,19.47684,1
231.3432,19.05099,1
