DEPTH_WMSF,HSGR,Helper
0.1524,0.4013,1
0.3048,1.147,1
0.4572,1.2588,1
0.6096,1.7356,1
0.762,2.5245,1
0.9144,3.5656,1
1.0668,4.0411,1
1.2192,3.6141,1
1.3716,3.4205,1
1.524,3.6088,1
1.6764,4.3246,1
1.8288,4.6629,1
1.9812,4.8238,1
2.1336,5.4753,1
2.286,5.5233,1
2.4384,5.3211,1
2.5908,4.3847,1
2.7432,4.4522,1
2.8956,4.6749,1
3.048,4.536,1
3.2004,3.2926,1
3.3528,3.0274,1
3.5052,2.5918,1
3.6576,3.2619,1
3.81,3.0303,1
3.9624,4.0111,1
4.1148,4.7127,1
4.2672,4.8902,1
4.4196,4.7409,1
4.572,4.5766,1
4.7244,4.9028,1
4.8768,5.9591,1
5.0292,6.7206,1
5.1816,7.5406,1
5.334,6.714,1
5.4864,6.7831,1
5.6388,6.7488,1
5.7912,6.6207,1
5.9436,6.0962,1
6.096,5.0918,1
6.2484,4.6166,1
6.4008,4.4078,1
6.5532,4.6944,1
6.7056,4.9483,1
6.858,5.1576,1
7.0104,5.0632,1
7.1628,5.1841,1
7.3152,5.1342,1
7.4676,5.2026,1
7.62,5.515,1
7.7724,6.4996,1
7.9248,8.4854,1
8.0772,8.5544,1
8.2296,7.8681,1
8.382,5.834,1
8.5344,5.2189,1
8.6868,5.0964,1
8.8392,5.2341,1
8.9916,5.7882,1
9.144,5.3452,1
9.2964,5.513,1
9.4488,5.2026,1
9.6012,5.5342,1
9.7536,5.0643,1
9.906,5.2749,1
10.0584,4.6337,1
10.2108,4.0804,1
10.3632,3.9226,1
10.5156,4.1808,1
10.668,4.6198,1
10.8204,3.7293,1
10.9728,3.6271,1
11.1252,4.2296,1
11.2776,5.0534,1
11.43,4.8373,1
11.5824,4.9293,1
11.7348,5.0356,1
11.8872,5.1849,1
12.0396,4.5986,1
12.192,4.0197,1
12.3444,4.0384,1
12.4968,3.6222,1
12.6492,3.3857,1
12.8016,3.4189,1
12.954,2.5872,1
13.1064,2.4631,1
13.2588,2.1276,1
13.4112,3.166,1
13.5636,3.2826,1
13.716,2.7448,1
13.8684,2.4384,1
14.0208,2.7855,1
14.1732,3.2918,1
14.3256,2.9328,1
14.478,2.5712,1
14.6304,2.4197,1
14.7828,2.7347,1
14.9352,2.4667,1
15.0876,2.9842,1
15.24,3.3349,1
15.3924,3.5007,1
15.5448,3.7018,1
15.6972,3.7682,1
15.8496,3.6146,1
16.002,3.207,1
16.1544,3.3875,1
16.3068,3.7541,1
16.4592,3.2766,1
16.6116,2.9736,1
16.764,3.3023,1
16.9164,3.1664,1
17.0688,2.9222,1
17.2212,2.6547,1
17.3736,2.5354,1
17.526,2.0614,1
17.6784,1.4418,1
17.8308,1.758,1
17.9832,2.9169,1
18.1356,3.6469,1
18.288,3.4433,1
18.4404,2.693,1
18.5928,2.1541,1
18.7452,2.5038,1
18.8976,2.6263,1
19.05,3.7266,1
19.2024,3.5965,1
19.3548,3.646,1
19.5072,2.764,1
19.6596,2.5991,1
19.812,2.4453,1
19.9644,2.9484,1
20.1168,3.6185,1
20.2692,4.6061,1
20.4216,4.7493,1
20.574,4.615,1
20.7264,3.8801,1
20.8788,3.8012,1
21.0312,3.6261,1
21.1836,4.5239,1
21.336,5.0066,1
21.4884,5.9471,1
21.6408,5.7719,1
21.7932,6.1209,1
21.9456,5.9249,1
22.098,6.0399,1
22.2504,5.3598,1
22.4028,6.4224,1
22.5552,6.4796,1
22.7076,6.9791,1
22.86,5.7538,1
23.0124,5.8947,1
23.1648,5.6816,1
23.3172,5.4177,1
23.4696,5.4159,1
23.622,4.8231,1
23.7744,5.3863,1
23.9268,5.2419,1
24.0792,5.616,1
24.2316,5.9534,1
24.384,5.7605,1
24.5364,5.3718,1
24.6888,4.5046,1
24.8412,5.2504,1
24.9936,6.6852,1
25.146,7.8009,1
25.2984,8.0459,1
25.4508,7.7724,1
25.6032,7.7845,1
25.7556,7.4558,1
25.908,7.6737,1
26.0604,7.8674,1
26.2128,8.2837,1
26.3652,6.9601,1
26.5176,6.2932,1
26.67,5.7202,1
26.8224,6.5849,1
26.9748,7.0483,1
27.1272,6.8797,1
27.2796,6.9038,1
27.432,5.6845,1
27.5844,4.2218,1
27.7368,3.2205,1
27.8892,2.6619,1
28.0416,3.4696,1
28.194,3.5092,1
28.3464,3.9856,1
28.4988,3.4012,1
28.6512,3.7366,1
28.8036,3.519,1
28.956,4.4348,1
29.1084,3.9271,1
29.2608,4.5487,1
29.4132,4.0509,1
29.5656,4.0896,1
29.718,3.8455,1
29.8704,4.3595,1
30.0228,4.8844,1
30.1752,3.8824,1
30.3276,3.4001,1
30.48,3.1478,1
30.6324,4.4601,1
30.7848,4.5248,1
30.9372,4.251,1
31.0896,4.4352,1
31.242,5.2947,1
31.3944,5.347,1
31.5468,4.635,1
31.6992,3.8698,1
31.8516,3.8637,1
32.004,4.205,1
32.1564,3.3761,1
32.3088,3.1304,1
32.4612,2.2155,1
32.6136,2.7895,1
32.766,3.1978,1
32.9184,3.2952,1
33.0708,3.1994,1
33.2232,3.0428,1
33.3756,3.5525,1
33.528,4.0684,1
33.6804,4.1741,1
33.8328,4.2909,1
33.9852,3.7753,1
34.1376,3.354,1
34.29,2.9966,1
34.4424,2.5808,1
34.5948,3.2788,1
34.7472,2.9975,1
34.8996,3.2636,1
35.052,2.7385,1
35.2044,2.8564,1
35.3568,2.6423,1
35.5092,2.9382,1
35.6616,3.7787,1
35.814,3.9835,1
